title,rate,desc,tags,url
Location based multi-vendor android/ios project,$2240,"...Push notification
• Profile settings

Any one who want to work as freelancer or If interested to work as a full time employee with us can contact us. 

Tech stack

Back-end:
1. PHP - Laravel framework
2. MySQL 5.7
3. Ubuntu 16.04x64 LTS, 4GB RAM 
4. Dashboard (HTML5, CSS)
5. Firebase RealtimeDatabase for live tracking

Android:
Java
iOS:
Swift

Thanks
s","Android, iPhone, Mobile App Development, PHP, Software Architecture",https://www.freelancer.com/projects/android/location-based-multi-vendor-android/
Laravel Developer,$1435,"Location - Mumbai / onSite
Technical Skills: PHP, MVC, Laravel, Webservices, CSS, Bootstrap, HTML 5, Javascript, GIT, API Integration.
Looking for a freelancer for period of 2 months.","API, Bootstrap, Git, Laravel, PHP",https://www.freelancer.com/projects/php/laravel-developer-24478416/
Build a simple Front-end Coupon App (Backend developer already),$661,"...Interest Screen (To input or type the interest) - This needs to be developed to store it on our server

Please note that the current server technologies used are:
1- Latest PHP 7 version
2- Latest MySQL version

This project will be given to the fastest delivery offer based on its simplicity. 

PLEASE NOTE: UI design shall be provided from the developer","Android, iPhone, Mobile App Development, MySQL, PHP",https://www.freelancer.com/projects/mobile-phone/build-simple-front-end-coupon/
Need Some Changes in Php page (Telugu People),$3/hr,I need some changes in Php page which was already built it's related to Employees Transfers,"Blog Install, Graphic Design, PHP, Website Design",https://www.freelancer.com/projects/blog-install/need-some-changes-php-page/
Cron Job to make game page function,$18,$10 Cron Job php to make a game page work. Everything I have tried shows game link 2 times.,"HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/cron-job-make-game-page/
Codeigniter / Laravel Developer,$362,"Hi,

i am Looking for PHP developer expert on codeigniter For long term on salary basis of:
1200 INR / day for 8H / day 

Note that it is remote job, and for long time !
 You will become the main dev of our compagny, so we need you for long time, with good communication.

# Mandatory skills needed: PHP - Codeigniter - Laravel - Javascript

- Experience","Codeigniter, Javascript, Laravel",https://www.freelancer.com/projects/javascript/codeigniter-laravel-developer/
Dynamic Website Development,$459,"I need you to build website development company with  blog which will be mobile and desktop friendly. We would prefer PHP, HTML5, CSS3, JQUERY, JAVASCRIPT languages or wordpress.

All the section should be manage from backend below reference website
Referance Website:-

[login to view URL]","CSS, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/php/dynamic-website-development-24477614/
Need Some Modifications in Php Page,$6/hr,Already I designed one page regarding employees transfers purpose on that I need some modifications with If condition .,"Blog Install, Graphic Design, PHP, Website Design",https://www.freelancer.com/projects/blog-install/need-some-modifications-php-page/
developing a ticketing website,$1208,"Please note this is for freelancers only who are looki...applications and seating layout
We need an experienced developer who can build this site and should have hand on experience in working of following coding languages
PHP, Mysql, java, Ajax, Jquery along with knowledge on graphic designing.
Please share your portfolios of ticketing websites only.","AJAX, Java, jQuery, MySQL, PHP",https://www.freelancer.com/projects/php/developing-ticketing-website/
PHP programmer need for small task.,$17,"We have a website in PHP which required a task need to do.
We need [login to view URL] the uploading of two excel work books (similar) to what our last developer did for the cash book. And produce five reports - Easy work. My last developer is not in touch with us right now so we looking for new developer to do this task.

The sheets I need to upload now are","HTML, MySQL, PHP, Software Architecture, Website Design",https://www.freelancer.com/projects/php/php-programmer-need-for-small/
Mobile Market Place,$2307,"I need an Android and iphone mobile app woth an admin panel. I have the design and it is 85% developed. I need developers to finish the development. It is Hybrid and c...mobile app woth an admin panel. I have the design and it is 85% developed. I need developers to finish the development. It is Hybrid and coded in ioniq (javascript, css html and php).","CSS, HTML, Ionic Framework, Mobile App Development, PHP",https://www.freelancer.com/projects/html/mobile-market-place/
Looking for a CAD designer,$5/hr,"...must also be able to work for 60 to 160 hours every month.

Further information about the job:

Job type: Part-time

Work location: Home (anywhere in the Philippines)

Salary: PHP 150-390/hour
(Removed by Freelancer.com admin)...","CAD/CAM, Manufacturing Design, Mechanical Engineering, Product Design, Solidworks",https://www.freelancer.com/projects/cad-cam/looking-for-cad-designer-24476579/
An engineering company that specializes in product development and mechanical engineering is looking to hire a Philippine-based CAD designer.,$4/hr,"...must also be able to work for 60 to 160 hours every month.

Further information about the job:

Job type: Part-time

Work location: Home (anywhere in the Philippines)

Salary: PHP 150-390/hour

Further information about the company:

3D Padelt GmbH
Garzauer Chaussee 1
15344 Strausberg
Germany
www.3dpadelt.de...","CAD/CAM, Manufacturing, Manufacturing Design, Mechanical Engineering, Solidworks",https://www.freelancer.com/projects/cad-cam/engineering-company-that-specializes/
mobile app,$620,"I wont make the Cow manager mobile app

1: back _end->manager (node js or  php)
2:client app(modern style)","Android, Javascript, Mobile App Development, node.js",https://www.freelancer.com/projects/nodejs/mobile-app-24476189/
update an existing website-march18,$165,"i need an experienced developer who can update my existing website , adding some functionalities and fixing some , the website is done in php","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/update-existing-website-march/
server tech 2,$34,"Looking for someone who works in linux and php that can advise me on the following installation 
[login to view URL]

I already have plesk server setup but not sure if it would work there.","Apache, HTML, Linux, PHP, System Admin",https://www.freelancer.com/projects/linux/server-tech-24476037/
core php and mysql web application,$17,Am creating crm web application in my project i having some struggle to write joins query and data table client side to server side change loading time issues,"Bootstrap, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/twitter-bootstrap/core-php-mysql-web-application/
Rto using php mysql,$21,Rto using php mysql,PHP,https://www.freelancer.com/projects/php/rto-using-php-mysql/
LMS Application for Softwre online training firm,$1108,"looking for LMS application for online training firm with moodle,PHP,MYSQL and Android ,IOS development","Android, iPhone, Mobile App Development, MySQL, PHP",https://www.freelancer.com/projects/php/lms-application-for-softwre-online/
Fullstack Developer,$12/hr,Looking to hire an efficient web developer to complete an e-commerce website built from scratch through php Laravel.,"Graphic Design, HTML, Laravel, PHP, Website Design",https://www.freelancer.com/projects/php/fullstack-developer-24475450/
PHP Developer needed to create dating site,$6779,"I'm looking for an experienced developer to develop a dating site.

The person will have to be able to handle both the frontend and the backend (i've already the design) and ll start by creating the manager.

Cheers","HTML5, Javascript, jQuery, MySQL, PHP",https://www.freelancer.com/projects/php/php-developer-needed-create-dating/
Data Structuring + Algorithms +front end skills,$346,"Project includes shortest path calculation algo (A*/Dijkstra/BFS) to navigate a AGV without collison

Skill set required
-php, Javascript, Mysql, JSON, REST API, Message queue like rabbit MQ or Kafka (Consume and producer), Node JS
-algorithms designing and front end skills
-Domain - E commerce, AI","Algorithm, Javascript, JSON, MySQL, PHP",https://www.freelancer.com/projects/algorithm/data-structuring-algorithms-front-end/
Cloud Project,$166,"I've a small project that needs to be developed. It's a Python & PHP-based application using Google App Engine.

I need some one who is professional, fast, and has experience in Python, PHP, Node, React Native, Google BigQuery.","Cloud Computing, Google App Engine, PHP, Python, React Native",https://www.freelancer.com/projects/python/cloud-project/
HTML AND PHP EXPERT,$31,"I have a project which require an expert in web developer 
1. an access code to login 
2. Users dashboard 

More to discuss about this  but i only require expert only","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/html-and-php-expert/
PHP Web GUI for VLC for Linux  (Streaming Expert),$1181,"If you can create webpage in Linux to control VLC playlist ready for streaming
Basically create live TV streaming from VOD video content
This feature is available in VLC for windows but the project is for Linux with C, C++, or GO
From VLC open source LIB or any similar

Project detail and example
- Upload video MP4
- Create playlist (random or progressive)
- Create live TV URL
- Insert logo on liv...","Javascript, Linux, PHP, Shell Script, Video Broadcasting",https://www.freelancer.com/projects/linux/php-web-gui-for-vlc/
PHP expert needed,$19/hr,"I need to develope 2 php script.
Please bid if you're an expert in PHP
python skill is a plus.
looking forward to meeting a master in php who can help me completely.
Thanks in advance.","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/php-expert-needed-24474672/
Ionic 4-5 Stencil Stripe Payment Web Components PWA + Android,$149,"...add a form for these details. In Chrome some of these details show as NULL now. You shall not use any JS framework apart from Ionic (not Angular etc.), and you shall not use PHP. It must be done with Ionic, Web Components/NodeJS. Your tasks per milestone are:

1.	Upgrade the UI from Ionic 4 to ionic 5.
2.	Push changes to the repo. = MILESTONE 1
3.	Make","Android, Ionic Framework, Stripe",https://www.freelancer.com/projects/ionic-framework/ionic-stencil-stripe-payment-web/
E- commerce Project,$12/hr,Looking to hire a web developer to complete an e-commerce website built from scratch through php Laravel,"Graphic Design, HTML, Laravel, PHP, Website Design",https://www.freelancer.com/projects/php/commerce-project-24474554/
PHP PDO + MYSQL Insert if not exists,$21,"I have 4 fileds in Database which 'id', 'platformId', 'tranactionId', 'createdAt'
Can you help me to do 2 fileds validation insert data if not exists 'platformId', 'tranactionId' cannot be 1 must verify at 2 such platformid = 1, transactionId = 1234 which platformId = 2 can have same  transactionId","MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/php-pdo-mysql-insert-not/
Joomla / WordPress PHP Developer,$101/hr,"...and versatile independent Joomla/WordPress/PHP.

You should be an all-round coder with an understanding of object-oriented PHP development. You’ll have experience using Joomla 1.x, 2.x, 3.x and WordPress 4.x. You’ll need to have a solid understanding of Joomla and Wordpress extensions also, you’ll have used PHP frameworks like Symfony, Laravel, CakePHP","CSS, HTML, Joomla, PHP, Website Design",https://www.freelancer.com/projects/php/joomla-wordpress-php-developer/
Fullstack Wordpress developer for building website+ custom theme from sketch file.,$29/hr,"We are looking for a skilled fullstack Wordpress developer to set up a corporate Wordpress site, create a theme from Sketch design file. HTML, CSS, PHP.

The site will need hosting setup, a limited amount of features, modules and backend changes. We will be evaluating mainly based on your experience in creating beautiful WP sites from custom design","CSS, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/php/fullstack-wordpress-developer-for/
PHP expert needed for my project,$160,"I have a PHP project.
I need a PHP script that connect to google sheet, google drive so it can work with google services.
But i don't know well how to do and don't have time to do it.
I hope someone help me.","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/php-expert-needed-for-project-24474217/
Develop website on PHP or Javascript,$506,I'm trying to create something like [login to view URL] that looks better and is less buggy.,"CSS, HTML, Javascript, PHP, Website Design",https://www.freelancer.com/projects/php/develop-website-php-javascript/
SaaS - AWS Server & Yii expert Set Up For Dynamic Sub domains provisioning/Wildcard & Stripe API,$1381,"AWS, SaaS & Yii Expert needed! We have a SaaS that has almost been completed (in two weeks). Righ...experience).

Please quote for fixed price and not hourly. Website will be sent to shortlisted candidates who will need to sign an NDA to view the system and the code
	
Technologies:

PHP Yii
MySQL
AWS
Stripe (API)
SSL Wildcard certificates

Many thanks","Amazon Web Services, Engineering, PHP, Software Architecture, Stripe",https://www.freelancer.com/projects/amazon-web-services/saas-aws-server-yii-expert/
Need CSS Expert to Create Video Player in JWPlayer,$72,"...PLAY"", disappears and reappears.

Also it has zero time bar at the bottom. also no play button or volume.

Here's our page now.
[login to view URL]

-----

I emailed support and they said the following:

""To have the player look like the one one the page you shared, you would have to use custom JavaScript and CSS. Here is","CSS, HTML, HTML5, Javascript, PHP",https://www.freelancer.com/projects/javascript/need-css-expert-create-video/
xcart php class field to add to front end,$17,knowledge of xcart essential  - adding a feature  class field to user side of website,"HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/xcart-php-class-field-add/
Academy LMS - CodeIgniter - Upgrades,$198,"We have bought a application called Academy LMS, based on PHP CodeIgniter and MySQL, and we are looking for someone to add features to the application. This is an initial project. Basically, we want to identify developers who know Academy LMS or are willing to understand the application, make some changes and continue working with us after this initial","Codeigniter, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/academy-lms-codeigniter-upgrades/
10 fixes vanilla php,$117,2 fixes vanilla php for existing system. Knowledge of GIT and AWS.,"Amazon Web Services, HTML, Javascript, PHP, Website Design",https://www.freelancer.com/projects/php/fixes-vanilla-php/
Replicate PDF functionality into html/css and php/mysql for database.,$160,"Hello! I need an excellent programmer, that knows how to make interactive PDF's and have strong knowledge and skills on HTML/CSS/JAVASCRIPT/PHP and MYSQL or any equivalent.

Will explain further to the potential prospect.

Write CROWN to check you read everything","CSS, HTML, Javascript, MySQL, PHP",https://www.freelancer.com/projects/php/replicate-pdf-functionality-into-html/
Web chat Addons,$25,"Hello Dear Dev.
I am looking for a web programmer.
PHP / HTML '/ JAVA / CPANEL 
1. Add a greeting to the user
2. Add room chat room
3. Adding a mobile phone icon if theuser enters through the mobile phone

30$ Work Work","HTML, Javascript, PHP, Web Security, Website Design",https://www.freelancer.com/projects/php/web-chat-addons/
need a simple live streaming page,$213,"need a simple live streaming webpage for mobile front camera.
must in php
 look at the image i attached.","HTML, HTML5, Javascript, PHP, Website Design",https://www.freelancer.com/projects/php/need-simple-live-streaming-page/
Rebuild my PHP (AMERICAN APPLICANTS ONLY),$153,"...IN AMERICA. YOU WILL BE AUTOMATICALLY REJECTED IF YOU PROHIBIT THIS**

**HIGHLY COMPLEX JOB PLEASE DO NOT APPLY IF YOU DO NOT HAVE AT LEAST 10 YEARS EXPERIENCE**

I have some PHP files that have 404 errors and the data that is being sent from app is not being saved into database by the Apis. I don't know what frameworks I have so don't ask, I didn't write","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/rebuild-php-american-applicants-only/
need a Expert  magento e commerce website developer with php,$202,"we need a Expert  magento e commerce website developer with php language or similar platform for responsive website 
we want to sale furniture in online","HTML, Laravel, Magento, PHP, Website Design",https://www.freelancer.com/projects/php/need-expert-magento-commerce-website/
Peer 2 Peer Cryptocurrency  trading platform.,$738,"Using laravel framework php, python bootstrap 
We looking someone who can develop a cryptocurrency platform with 5 coins integrated(BTC, ETH, Bitcoin cash, USDT and Dash)  
Requirements:-
[login to view URL]
[login to view URL] time p2p chat 
3. Dispute/resolution platform
4. Self-hosted crypto wallets
5. Frontend(showing active trades as per geolocation)
[login to view URL] backend
7","Laravel, MySQL, PHP, Python, Software Architecture",https://www.freelancer.com/projects/laravel/peer-peer-cryptocurrency-trading/
I need someone to fix my Ajax Login Plugin,$909,"I use the Stranoweb Ajax Login Plugin to sign users to my site but whenever someeone tries signing up on my website, instead of the plugin to redirect the user to their profile upon signup, it simply take them back to homepage. Is there a way you can make the plugin redirect users to their profile when they Signup. My site is [login to view URL] and","AJAX, HTML, Javascript, PHP, WordPress",https://www.freelancer.com/projects/php/need-someone-fix-ajax-login/
Build a PHP project,$12/hr,"we need to make a project that is made of 2 parts. If you are bidding, please note that I need u to do the 2 parts not only one of them.
Part1: we need to create a CMS that accepts themes
Part2: build a script, that takes the exported html of a design tool of your choice, and transform it to a theme that is used by the CMS that was developed in part one","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/build-php-project-24469509/
Need a linux expert for a best permanent solution rebooting centos 7 from web,$31,I am looking for someone who will guide to make workable centos 7 reboot from PHP by click,"CentOs, Linux, PHP, System Admin",https://www.freelancer.com/projects/centos/need-linux-expert-for-best/
"js, php, css | wp plugin",$20,"Hey.

So i've been modifying ultimate member, to achieve desire look.

I'm nearly close. BUT. I can't manage to customize the last image to be same heigh and react the same way as the other images i made. 

The project is on a local pc.

Functions is simple: Click to expand. 

Need last image to expand, and animate the same way as the others.","CSS, HTML, Javascript, PHP, WordPress",https://www.freelancer.com/projects/php/php-css-plugin/
PHP Junior Developer,$444,"Need a Junior Developer for a project similar to [login to view URL]
Starting Point is software like [login to view URL]
Project is a job with minimum 2 years contract not lump sum or one time work.
So budget is intend as monthly pay.
Remote work from any location. But contract will be in your country.","HTML, MySQL, PHP, Software Architecture, Website Design",https://www.freelancer.com/projects/php/php-junior-developer-24469127/
SchoolManagerHub,$11/hr,"SchoolManagerHub is a school management software that is done using laravel PHP and I am seeking a developer who can help me to finish this project and provide support on an ongoing basis

The portal is at [login to view URL]

I need someone who has had experience in setting up a school management software before. If you have never setup a school","Android, Laravel, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/schoolmanagerhub/
Cyber risk modelling tool,$197,"...cyber risk management tool for quantifying risks as well as evaluating controls. it can be written in php, html nadn mysql database. The client-side can be accessed using a standard browser and it will be able to run on any web server that supports PHP and has a MySQL database. It should also hjave an intelligence aspect that is able to gather some threat","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/cyber-risk-modelling-tool/
Help with Paypal API & Perl Backend software,$10/hr,"...payments via paypal api, online poker backend software, paypal api net, amazon merchant api perl, oscommerce paypal api, vista print backend software, protect paypal api signature php, paypal payflow pro api perl, paypal api perl, paypal api recurring payments perl, paypal api software, software development kolkata java paypal api, paypal api printing software","Java, MySQL, Perl, PHP, Software Architecture",https://www.freelancer.com/projects/php/help-with-paypal-api-perl/
Development and integration of one to one chat using Twilio chat api in PHP Laravel,$126,We need to a chat feature implemented in existing PHP Laravel website. The chat  will be between client and our service provider and client will be paying on per min basis for chat. This chat can be implemented using Twilio chat api and has to integrated within existing framework.,"HTML, Laravel, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/development-integration-one-one-chat/
job offer data,$16/hr,I'm looking for an experienced PHP developer.,"HTML, MySQL, PHP, Software Architecture, Website Design",https://www.freelancer.com/projects/php/job-offer-data/
Php based website required,$174,"I need a new website. I need you to design and build it. php based website website example is given in attachment file
link: [login to view URL]","Affiliate Marketing, PHP, Website Design",https://www.freelancer.com/projects/php/php-based-website-required/
PHP Programmer Need,$28,"We have a website in PHP which required few tasks need to do.
Please see attached all tasks before apply.

My deadline is 3 days Max. Make sure you able to do all tasks perfectly.

Budget 50$
Thank you","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/php-programmer-need-24467779/
Raise a complete new tech service on the internet. (No social media or shops ...),$69,"...to service the customers.
- Desktop-tool for windows-users is developed and works.
- There is to do design and develop some more for Frontend things for the public webpage (PHP)
(Payment system, usermanagement, admin area for it ...)
- It is possible, to combine this service with other already running global services and implement this there.
- I could","DNS, MySQL, PHP, Web Hosting, Website Design",https://www.freelancer.com/projects/php/raise-complete-new-tech-service/
Amend Php script,$25,"I have a wordpress site for sending sms

There is a php script that sends messages.

When it sends Messages to a group of users of example, 350 Phone numbers.

I want to make it send to LIMIT 50 phone numbers per request till it finishes processing.

So that it limits the number of messages it sends per request.","HTML, MySQL, PHP, Software Architecture, WordPress",https://www.freelancer.com/projects/php/amend-php-script/
"Nee a developer who work with JavaScript, PHP, HTML/CSS, Laravel ;and can upload the Backup",$2280,Looking for medium level Back-End Development specialist.,"CSS, HTML, Javascript, PHP, Website Design",https://www.freelancer.com/projects/php/nee-developer-who-work-with-24467598/
Android-IOS- admin panel developers wanted,$5800,"...translations will be provided for plug n [login to view URL] must support Arabic ( Right to left)


** indicates already existing features in all apps of similar field.

For back-end .php is preferable , however I am open to suggestions if other platforms are more suitable.
All is cloud based
Apps and admin must be smooth ,and bug free, with great and easy to","Android, iOS Development, Mobile App Development, MySQL, PHP",https://www.freelancer.com/projects/android/android-ios-admin-panel-developers/
API development using CQRS and Event Sourcing,$46/hr,"SAT Test Prep application, using PHP, Laravel, MySQL, Prooph. We need a few developers to continue development on the APIs.  The candidate needs to complete a phone screen and live exercise. Candidate will need to have the following skills/knowledge:
- TDD
- SOLID Principles
- SQL optimization/design
- DDD Principles
- Agile workflows
- Fluent verbal","HTML, Laravel, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/api-development-using-cqrs-event/
Fix erros and optimize Prestashop 1.7.6.3,$166,"A professional Prestashop developer needed to do the following 

1- Fix php and smarty errors appearing in error log 
2- Fix google search console notes
3- Fix a problem that make the website freeze for about 15 seconds each couple of hours 
4- optimize the home page ""[login to view URL]"" to be much faster and lighter","eCommerce, PHP, Prestashop, Smarty PHP, Web Hosting",https://www.freelancer.com/projects/prestashop/fix-erros-optimize-prestashop/
Looking for an PHP Developer,$23,"Hi,

I'm looking for an experienced PHP developer.

Thanks","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/looking-for-php-developer-24467311/
Reconocimiento de OMR en imagenes y codigo de barras -- 2,$131,"Se requiere el codigo el PHP y Java para hacer OMR a las imagenes adjuntas

El codigo debe ser capaz de leer las fechas del OMR y el codigo de barras","Java, Javascript, MySQL, PHP",https://www.freelancer.com/projects/java/reconocimiento-omr-imagenes-codigo/
Senior php developer required for Indoor Floor maps please Bid those freelancer who have work in indoor map,$161,Dear Freelancer please bid only those developer who have experience in php with indoor floor map .we have hospital managment system which is currently running in our domain  we need to add some functionalities like hospital floor map [login to view URL],"Cartography & Maps, Google Maps API, PHP",https://www.freelancer.com/projects/php/senior-php-developer-required-for-24466607/
php coder for website backend,$8/hr,I need a PHP coder to develop back end,"HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/php-coder-for-website-backend/
Full stack developer to make simple edits to our website,$38,we have a php website and we wanna have some simple edits to it simple project not require much time,"HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/full-stack-developer-make-simple/
Create a PHP account,$317,I want to create an account with help of PHP. I have some social media accounts. I wish to create commands for them so that they follow the URL which is added.,"HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/create-php-account/
UI/UX Developer,$651,"******UI/UX Developer from Mumbai Only********
We are a Product based Company and would like to revamp the UI of one of our Products. A fresh look ...fresh look has to be given to the UI of our Product (2 Pages) which has to be developed and than integrated with our back end code.

Front End:
HTML5, CSS, Javascript, Jquery, Ajax

Back End:
Asp.Net, C#","CSS, HTML, HTML5, Javascript, jQuery / Prototype",https://www.freelancer.com/projects/html-five/developer-24465913/
I need a PHP developer for membership program for resort,$1515,We are selling a membership program for a resort. So we need a portal in which members can see their status and usage of services. With basic KYC and one validity of offer. Offline approval of membership with admin and user interface.,"Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-php-developer-for-membership/
Bike Rentals and Travels Website,$528,"...once.
•	Exporting users list, bikes list and uploading both should be available

Please send quotes to qwertr987@[login to view URL], I need to know which platform you use like .net, php, etc & ETA. I would also need some sample websites which you have already done. Preferably related to my project, else anything is fine.
Examples of bike rental websites:
•	https://www","Graphic Design, HTML, Logo Design, PHP, Website Design",https://www.freelancer.com/projects/graphic-design/bike-rentals-travels-website/
Project Proxima Centauri,$21/hr,"High pay, low hours. Building a Raspberry Pi based system. Need a coder fluent in Python, PHP. Needs to know how to use PHPMyAdmin, MySQL. This is a test project with the backing of a tech company, and the potential of Full Time onboarding and becoming a part of the team.","Linux, MySQL, PHP, Python",https://www.freelancer.com/projects/python/project-proxima-centauri/
Software using PHP,$223,"Agribusiness Management System with Mobile Payment Integration
     -  Support for Offline Entries
     - Mobile App Support","Android, Mobile App Development, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/software-using-php-24465036/
Build a E-Commerce Website UI/UX,$379,"...online marketplace using multi purpose woo-commerce Wordpress theme or E-Commerce Magento theme with the use of proficient in following:
Skills such as Graphic Design, HTML, PHP, Website Design with use of all plugins, shopping cart and check outs. The website should be linked with Social Media Pages integration such as Twitter, Facebook, Instagram &","Graphic Design, HTML, PHP, Web Scraping, Website Design",https://www.freelancer.com/projects/php/build-commerce-website-24465005/
SQL DATA BASE + PHP + HTML SMALL PROJECT,$476,"SQL DATABASE + PHP + HTML
To be used for control of Goods in a store

The project is simple and the following describes exactly what i need - nothing more to discuss so please send me your final quote - need the project done fast - I will award this project by the end of day tomorrow (Thursday 19th March 2020)

What i need is as follows:
Create SQL","HTML, MySQL, PHP, SQL",https://www.freelancer.com/projects/sql/sql-data-base-php-html/
Looking for .NET developer for long-term project,$50/hr,"...modifying numerous .NET apps with server connection and Social Media API integration, so this contract includes multiple sub-projects.

You must also have experience with:
* PHP frameworks
* JavaScript frameworks
* Social Media API's (Facebook, Instagram, Twitter, Linkedin, Pinterest, YouTube etc)
* Databases (SQLite, JSON etc)

PLEASE NOTE: I only work",".NET, C# Programming, Javascript, JSON, PHP",https://www.freelancer.com/projects/php/looking-for-net-developer-for/
